Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
09/24/2013,28850,21675,50525,7305,2782,10087,10440,14882,21675,36557,1828,3881
09/25/2013,28863,21721,50584,7295,2787,10082,10453,14894,21721,36615,1832,3887
09/26/2013,28888,21804,50692,7287,2771,10058,10483,14934,21804,36738,1836,3896
09/27/2013,28729,21757,50486,7185,2739,9924,10465,14905,21757,36662,1838,3900
09/28/2013,28688,21746,50434,7178,2718,9896,10462,14910,21746,36656,1829,3882
09/29/2013,28815,21780,50595,7264,2724,9988,10480,14927,21780,36707,1837,3900
09/30/2013,28860,21786,50646,7275,2742,10017,10471,14931,21786,36717,1843,3912
10/01/2013,28581,21734,50315,7129,2684,9813,10438,14869,21734,36603,1838,3899
10/02/2013,28583,21768,50351,7073,2681,9754,10469,14916,21768,36684,1845,3913
10/04/2013,28521,21818,50339,6999,2672,9671,10488,14944,21818,36762,1842,3906
10/05/2013,28507,21817,50324,7012,2666,9678,10483,14928,21817,36745,1839,3901
10/06/2013,28691,21890,50581,7092,2685,9777,10531,14998,21890,36888,1847,3916
10/07/2013,28767,21870,50637,7133,2726,9859,10517,14989,21870,36859,1849,3919
10/08/2013,28772,21830,50602,7165,2722,9887,10494,14972,21830,36802,1846,3913
10/09/2013,28833,21853,50686,7192,2728,9920,10512,14994,21853,36847,1850,3919
10/10/2013,28834,21894,50728,7161,2717,9878,10536,15030,21894,36924,1852,3926
10/11/2013,28791,21883,50674,7091,2738,9829,10534,15037,21883,36920,1851,3925
10/12/2013,28736,21857,50593,7081,2705,9786,10520,15006,21857,36863,1861,3944
10/13/2013,28921,21944,50865,7168,2741,9909,10556,15051,21944,36995,1869,3961
10/14/2013,29014,21948,50962,7248,2751,9999,10558,15053,21948,37001,1869,3962
10/15/2013,28998,21894,50892,7251,2758,10009,10542,15044,21894,36938,1861,3945
10/16/2013,28924,21848,50772,7234,2752,9986,10513,15006,21848,36854,1856,3932
10/17/2013,28914,21848,50762,7216,2774,9990,10510,15004,21848,36852,1849,3920
10/18/2013,28856,21876,50732,7156,2743,9899,10519,15015,21876,36891,1859,3942
10/19/2013,28918,21898,50816,7205,2749,9954,10534,15024,21898,36922,1858,3940
10/20/2013,29094,21965,51059,7297,2776,10073,10568,15070,21965,37035,1863,3951
10/21/2013,29088,21974,51062,7296,2777,10073,10573,15078,21974,37052,1856,3937
10/22/2013,29058,21936,50994,7319,2787,10106,10549,15042,21936,36978,1842,3910
10/23/2013,29125,21927,51052,7358,2801,10159,10554,15042,21927,36969,1849,3924
10/24/2013,29180,21973,51153,7356,2793,10149,10587,15087,21973,37060,1858,3944
10/25/2013,29036,21976,51012,7275,2759,10034,10574,15064,21976,37040,1855,3938
10/26/2013,29058,21997,51055,7264,2770,10034,10592,15076,21997,37073,1860,3948
10/27/2013,29211,22051,51262,7350,2793,10143,10623,15114,22051,37165,1863,3954
10/28/2013,29207,22056,51263,7352,2774,10126,10613,15113,22056,37169,1870,3968
10/29/2013,29187,22035,51222,7342,2787,10129,10598,15100,22035,37135,1866,3958
10/30/2013,29128,22035,51163,7282,2795,10077,10589,15087,22035,37122,1869,3964
10/31/2013,29037,22024,51061,7222,2773,9995,10582,15072,22024,37096,1872,3970
11/01/2013,28743,21990,50733,7043,2693,9736,10570,15057,21990,37047,1864,3950
11/02/2013,28694,21964,50658,7031,2704,9735,10548,15022,21964,36986,1857,3937
11/03/2013,28871,22010,50881,7164,2725,9889,10571,15052,22010,37062,1854,3930
11/04/2013,28930,21982,50912,7232,2722,9954,10555,15037,21982,37019,1858,3939
11/05/2013,28965,21976,50941,7278,2711,9989,10551,15026,21976,37002,1863,3950
11/06/2013,28995,21990,50985,7271,2724,9995,10547,15024,21990,37014,1875,3976
11/07/2013,29000,22028,51028,7269,2714,9983,10562,15047,22028,37075,1872,3970
11/08/2013,28926,22034,50960,7200,2695,9895,10559,15052,22034,37086,1876,3979
11/09/2013,28858,22060,50918,7152,2682,9834,10564,15052,22060,37112,1873,3972
11/10/2013,28992,22074,51066,7254,2687,9941,10581,15066,22074,37140,1879,3985
11/11/2013,29070,22096,51166,7306,2699,10005,10585,15079,22096,37175,1879,3986
11/13/2013,29063,22047,51110,7318,2720,10038,10561,15038,22047,37085,1879,3987
11/14/2013,29077,22108,51185,7308,2703,10011,10587,15080,22108,37188,1879,3986
11/18/2013,29152,22224,51376,7283,2722,10005,10632,15158,22224,37382,1882,3989
11/20/2013,29171,22206,51377,7309,2732,10041,10622,15148,22206,37354,1879,3982
11/21/2013,29169,22211,51380,7277,2740,10017,10633,15158,22211,37369,1885,3994
11/22/2013,29025,22189,51214,7203,2695,9898,10623,15139,22189,37328,1882,3988
11/23/2013,29023,22175,51198,7218,2710,9928,10612,15106,22175,37281,1882,3989
11/24/2013,29185,22237,51422,7323,2729,10052,10638,15144,22237,37381,1882,3989
11/25/2013,29237,22252,51489,7347,2728,10075,10648,15169,22252,37421,1882,3993
11/26/2013,29178,22168,51346,7375,2712,10087,10614,15112,22168,37280,1875,3979
11/27/2013,29119,22164,51283,7325,2694,10019,10616,15111,22164,37275,1882,3989
11/28/2013,28902,22174,51076,7166,2661,9827,10606,15094,22174,37268,1878,3981
11/29/2013,28841,22135,50976,7159,2635,9794,10597,15074,22135,37209,1873,3973
12/01/2013,29067,22151,51218,7300,2686,9986,10599,15082,22151,37233,1885,3999
12/02/2013,29002,22091,51093,7305,2697,10002,10559,15026,22091,37117,1874,3974
12/03/2013,28926,22003,50929,7292,2685,9977,10526,14986,22003,36989,1868,3963
12/04/2013,28887,22022,50909,7251,2695,9946,10524,14977,22022,36999,1868,3964
12/05/2013,28908,22063,50971,7246,2682,9928,10551,15009,22063,37072,1872,3971
12/06/2013,28874,22052,50926,7253,2675,9928,10543,14990,22052,37042,1866,3956
12/07/2013,28933,22066,50999,7286,2697,9983,10546,14983,22066,37049,1871,3967
12/08/2013,29108,22129,51237,7389,2708,10097,10576,15023,22129,37152,1881,3988
