Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
07/06/2014,30581,23311,53892,7561,2805,10366,11290,16164,23311,39475,1925,4051
07/07/2014,30621,23306,53927,7601,2806,10407,11280,16164,23306,39470,1924,4050
07/08/2014,30663,23305,53968,7622,2829,10451,11277,16162,23305,39467,1924,4050
07/09/2014,30722,23369,54091,7606,2836,10442,11318,16210,23369,39579,1933,4070
07/10/2014,30701,23401,54102,7575,2841,10416,11338,16234,23401,39635,1925,4051
07/11/2014,30710,23435,54145,7551,2828,10379,11350,16258,23435,39693,1934,4073
07/12/2014,30682,23443,54125,7505,2826,10331,11353,16259,23443,39702,1943,4092
07/13/2014,30886,23509,54395,7622,2856,10478,11387,16308,23509,39817,1947,4100
07/14/2014,30930,23487,54417,7657,2880,10537,11365,16288,23487,39775,1949,4105
07/15/2014,30953,23486,54439,7681,2894,10575,11358,16281,23486,39767,1944,4097
07/16/2014,30945,23459,54404,7683,2882,10565,11356,16273,23459,39732,1949,4107
07/17/2014,30953,23474,54427,7644,2893,10537,11376,16299,23474,39773,1954,4117
07/18/2014,30887,23487,54374,7587,2870,10457,11383,16310,23487,39797,1956,4120
07/19/2014,30930,23491,54421,7603,2872,10475,11386,16317,23491,39808,1965,4138
07/20/2014,31066,23536,54602,7682,2887,10569,11414,16352,23536,39888,1968,4145
07/21/2014,31082,23499,54581,7675,2924,10599,11401,16341,23499,39840,1967,4142
07/22/2014,31029,23392,54421,7682,2906,10588,11355,16285,23392,39677,1976,4156
07/23/2014,31122,23483,54605,7705,2919,10624,11395,16339,23483,39822,1976,4159
07/24/2014,31150,23556,54706,7700,2914,10614,11430,16376,23556,39932,1978,4160
07/25/2014,31059,23543,54602,7615,2902,10517,11431,16371,23543,39914,1984,4171
07/26/2014,30996,23558,54554,7563,2896,10459,11431,16370,23555,39925,1982,4170
07/27/2014,31160,23623,54783,7655,2903,10558,11465,16430,23623,40053,1984,4172
07/29/2014,31156,23607,54763,7664,2936,10600,11444,16420,23604,40024,1967,4139
07/30/2014,31158,23601,54759,7655,2933,10588,11436,16417,23601,40018,1974,4153
07/31/2014,31093,23649,54742,7592,2927,10519,11443,16425,23646,40071,1971,4152
08/01/2014,30850,23617,54467,7436,2883,10319,11423,16385,23617,40002,1969,4146
08/02/2014,30878,23593,54471,7462,2896,10358,11412,16366,23593,39959,1974,4154
08/03/2014,31055,23657,54712,7559,2923,10482,11438,16395,23657,40052,1985,4178
08/04/2014,31112,23653,54765,7569,2925,10494,11447,16408,23653,40061,2002,4210
08/05/2014,31090,23555,54645,7599,2932,10531,11406,16355,23555,39910,1999,4204
08/06/2014,31126,23585,54711,7599,2940,10539,11414,16373,23585,39958,2004,4214
08/07/2014,31129,23608,54737,7607,2937,10544,11417,16384,23608,39992,1997,4201
08/08/2014,31084,23642,54726,7539,2929,10468,11441,16412,23642,40054,1999,4204
08/09/2014,30994,23654,54648,7482,2936,10418,11439,16405,23654,40059,1984,4171
08/10/2014,31191,23754,54945,7591,2949,10540,11494,16480,23754,40234,1984,4171
08/11/2014,31209,23646,54855,7628,2970,10598,11434,16417,23646,40063,1995,4194
08/12/2014,31216,23635,54851,7662,2958,10620,11423,16402,23635,40037,1995,4194
08/13/2014,31212,23589,54801,7659,2972,10631,11416,16379,23589,39968,2000,4202
08/14/2014,31213,23580,54793,7648,2964,10612,11411,16380,23580,39960,2010,4221
08/15/2014,31131,23599,54730,7578,2944,10522,11415,16378,23599,39977,2014,4231
08/16/2014,31039,23578,54617,7523,2940,10463,11415,16373,23578,39951,2000,4203
08/17/2014,31192,23638,54830,7600,2954,10554,11445,16419,23638,40057,2008,4219
08/18/2014,31249,23625,54874,7657,2969,10626,11440,16420,23625,40045,2000,4203
08/19/2014,31264,23625,54889,7672,2967,10639,11431,16413,23625,40038,2004,4212
08/20/2014,31285,23635,54920,7667,2974,10641,11438,16412,23635,40047,2015,4232
08/21/2014,31291,23673,54964,7642,2969,10611,11452,16445,23673,40118,2016,4235
08/22/2014,31248,23696,54944,7598,2962,10560,11461,16448,23696,40144,2017,4240
08/23/2014,31245,23685,54930,7587,2974,10561,11453,16440,23685,40125,2020,4244
08/24/2014,31362,23735,55097,7648,2988,10636,11483,16473,23735,40208,2025,4253
08/25/2014,31366,23710,55076,7674,2993,10667,11459,16449,23710,40159,2023,4250
08/26/2014,31312,23667,54979,7691,3004,10695,11422,16390,23667,40057,2011,4227
08/27/2014,31321,23704,55025,7685,2984,10669,11440,16418,23704,40122,2014,4234
08/28/2014,31302,23734,55036,7643,2993,10636,11452,16435,23734,40169,2013,4231
08/29/2014,31142,23731,54873,7533,2957,10490,11450,16418,23731,40149,2015,4234
08/30/2014,31170,23759,54929,7557,2945,10502,11467,16438,23759,40197,2014,4230
08/31/2014,31254,23775,55029,7601,2944,10545,11477,16457,23775,40232,2025,4252
09/01/2014,31359,23815,55174,7636,2969,10605,11496,16491,23815,40306,2030,4263
09/02/2014,31394,23827,55221,7652,2985,10637,11485,16473,23827,40300,2038,4284
09/03/2014,31289,23761,55050,7635,2972,10607,11439,16408,23761,40169,2031,4274
09/04/2014,31360,23862,55222,7657,2989,10646,11475,16458,23862,40320,2023,4256
09/05/2014,31311,23911,55222,7596,2972,10568,11493,16484,23911,40395,2023,4259
09/06/2014,31395,23947,55342,7646,2968,10614,11517,16525,23947,40472,2023,4256
09/07/2014,31513,23985,55498,7701,2985,10686,11547,16564,23985,40549,2027,4263
09/08/2014,31619,23997,55616,7739,3003,10742,11539,16568,23997,40565,2050,4309
09/09/2014,31620,23932,55552,7753,3014,10767,11521,16536,23932,40468,2054,4317
09/10/2014,31670,24058,55728,7708,3023,10731,11571,16613,24058,40671,2058,4326
09/11/2014,31661,24066,55727,7709,3023,10732,11575,16615,24066,40681,2052,4314
09/12/2014,31644,24124,55768,7675,3007,10682,11599,16650,24124,40774,2052,4312
09/13/2014,31666,24118,55784,7678,3002,10680,11613,16658,24118,40776,2059,4328
09/14/2014,31873,24209,56082,7779,3018,10797,11655,16721,24209,40930,2072,4355
09/15/2014,31832,24182,56014,7769,3021,10790,11626,16685,24182,40867,2073,4357
09/16/2014,31872,24162,56034,7790,3032,10822,11627,16690,24162,40852,2075,4360
09/17/2014,31899,24118,56017,7815,3025,10840,11615,16679,24118,40797,2084,4380
09/18/2014,31925,24187,56112,7764,3034,10798,11654,16733,24187,40920,2091,4394
09/19/2014,31929,24216,56145,7768,3035,10803,11667,16739,24216,40955,2088,4387
09/20/2014,31913,24195,56108,7763,3022,10785,11660,16735,24195,40930,2089,4393
09/21/2014,32031,24257,56288,7816,3033,10849,11688,16770,24257,41027,2099,4412
09/22/2014,32066,24282,56348,7818,3045,10863,11698,16788,24282,41070,2100,4415
09/23/2014,32005,24214,56219,7807,3048,10855,11669,16746,24214,40960,2095,4404
09/24/2014,32048,24237,56285,7841,3061,10902,11675,16752,24237,40989,2091,4394
09/25/2014,31970,24250,56220,7801,3036,10837,11686,16762,24250,41012,2080,4371
09/26/2014,31869,24274,56143,7696,3018,10714,11700,16772,24274,41046,2087,4383
09/27/2014,31923,24267,56190,7739,3016,10755,11710,16784,24267,41051,2088,4384
09/28/2014,32063,24310,56373,7800,3047,10847,11738,16822,24310,41132,2092,4394
10/03/2014,31948,24326,56274,7724,3018,10742,11742,16837,24326,41163,2079,4369
10/04/2014,31984,24345,56329,7740,3023,10763,11747,16848,24345,41193,2081,4373
10/05/2014,32216,24460,56676,7855,3047,10902,11807,16930,24460,41390,2087,4384
10/10/2014,32186,24515,56701,7764,3053,10817,11823,16960,24515,41475,2099,4409
10/11/2014,32236,24513,56749,7824,3041,10865,11821,16957,24513,41470,2101,4414
10/12/2014,32351,24583,56934,7871,3064,10935,11856,16989,24583,41572,2107,4427
10/15/2014,32434,24626,57060,7921,3074,10995,11866,17007,24626,41633,2110,4432
10/16/2014,32389,24603,56992,7877,3081,10958,11861,16989,24603,41592,2113,4442
10/17/2014,32344,24649,56993,7825,3051,10876,11884,17021,24649,41670,2116,4447
10/18/2014,32402,24713,57115,7828,3058,10886,11923,17074,24713,41787,2114,4442
10/19/2014,32567,24761,57328,7928,3081,11009,11943,17103,24761,41864,2120,4455
10/20/2014,32580,24763,57343,7941,3084,11025,11938,17100,24763,41863,2120,4455
10/21/2014,32568,24755,57323,7953,3091,11044,11925,17087,24755,41842,2111,4437
10/22/2014,32630,24760,57390,8014,3100,11114,11933,17086,24760,41846,2109,4430
10/23/2014,32649,24783,57432,7993,3121,11114,11948,17115,24783,41898,2101,4420
10/24/2014,32549,24815,57364,7892,3094,10986,11962,17125,24815,41940,2110,4438
10/25/2014,32516,24827,57343,7878,3090,10968,11969,17131,24827,41958,2098,4417
10/26/2014,32677,24871,57548,7974,3114,11088,12000,17163,24871,42034,2102,4426
10/27/2014,32651,24839,57490,7940,3123,11063,11986,17152,24839,41991,2106,4436
10/28/2014,32658,24822,57480,7948,3138,11086,11966,17140,24822,41962,2104,4432
10/29/2014,32672,24868,57540,7958,3124,11082,11992,17166,24868,42034,2100,4424
10/30/2014,32662,24924,57586,7917,3119,11036,12013,17192,24924,42116,2102,4434
10/31/2014,32584,24946,57530,7852,3080,10932,12031,17213,24946,42159,2105,4439
11/01/2014,32623,24928,57551,7886,3096,10982,12024,17203,24928,42131,2104,4438
11/02/2014,32713,24932,57645,7961,3110,11071,12024,17214,24932,42146,2099,4428
11/03/2014,32740,24925,57665,7976,3099,11075,12027,17221,24925,42146,2107,4444
11/04/2014,32793,24936,57729,7975,3101,11076,12055,17256,24936,42192,2115,4461
11/05/2014,32749,24897,57646,7963,3104,11067,12031,17235,24897,42132,2108,4447
11/06/2014,32741,24907,57648,7939,3106,11045,12051,17242,24907,42149,2111,4454
11/07/2014,32730,24946,57676,7932,3092,11024,12048,17233,24946,42179,2119,4473
11/08/2014,32813,25065,57878,7926,3080,11006,12105,17314,25065,42379,2129,4493
11/09/2014,32967,25087,58054,7986,3123,11109,12126,17343,25087,42430,2139,4515
11/10/2014,32958,25074,58032,7999,3121,11120,12108,17327,25074,42401,2138,4511
11/11/2014,32973,25087,58060,8005,3122,11127,12112,17341,25087,42428,2135,4505
11/12/2014,33030,25113,58143,8000,3138,11138,12135,17374,25113,42487,2140,4518
11/13/2014,33058,25116,58174,8050,3136,11186,12135,17378,25116,42494,2129,4494
11/14/2014,33003,25136,58139,7994,3121,11115,12145,17395,25136,42531,2129,4493
11/15/2014,33069,25189,58258,8017,3130,11147,12172,17433,25189,42622,2127,4489
11/16/2014,33137,25189,58326,8061,3140,11201,12179,17443,25189,42632,2130,4493
11/17/2014,33189,25162,58351,8072,3171,11243,12171,17436,25162,42598,2138,4510
11/18/2014,33201,25153,58354,8100,3177,11277,12166,17422,25153,42575,2134,4502
11/19/2014,33296,25181,58477,8123,3182,11305,12190,17452,25181,42633,2153,4539
11/20/2014,33313,25249,58562,8110,3184,11294,12228,17501,25249,42750,2144,4518
11/21/2014,33273,25259,58532,8061,3195,11256,12241,17524,25259,42783,2133,4493
11/22/2014,33262,25229,58491,8042,3191,11233,12252,17532,25229,42761,2134,4497
11/23/2014,33241,25228,58469,8067,3187,11254,12247,17523,25228,42751,2117,4464
11/24/2014,33264,25240,58504,8072,3180,11252,12248,17535,25240,42775,2124,4477
11/21/2014,33273,25259,58532,8061,3195,11256,12241,17524,25259,42783,2133,4493
11/22/2014,33262,25229,58491,8042,3191,11233,12252,17532,25229,42761,2134,4497
11/23/2014,33241,25228,58469,8067,3187,11254,12247,17523,25228,42751,2117,4464
11/25/2014,33275,25250,58525,8108,3157,11265,12250,17535,25250,42785,2123,4475
11/26/2014,33256,25237,58493,8096,3154,11250,12242,17518,25237,42755,2129,4488
11/27/2014,33191,25266,58457,8001,3139,11140,12254,17530,25266,42796,2144,4521
11/28/2014,33251,25284,58535,8055,3142,11197,12266,17548,25284,42832,2136,4506
11/29/2014,33263,25258,58521,8062,3156,11218,12247,17521,25258,42779,2145,4524
11/30/2014,33302,25253,58555,8095,3171,11266,12243,17522,25253,42775,2140,4514
12/01/2014,33274,25210,58484,8098,3164,11262,12216,17496,25210,42706,2142,4516
12/02/2014,33293,25213,58506,8108,3184,11292,12219,17497,25213,42710,2136,4504
12/03/2014,33364,25288,58652,8128,3174,11302,12252,17550,25288,42838,2141,4512
12/04/2014,33383,25358,58741,8121,3174,11295,12279,17587,25358,42945,2138,4501
12/05/2014,33348,25358,58706,8078,3162,11240,12290,17607,25358,42965,2137,4501
12/06/2014,33359,25341,58700,8086,3162,11248,12284,17594,25341,42935,2145,4517
12/07/2014,33457,25396,58853,8139,3169,11308,12313,17633,25396,43029,2144,4516
12/08/2014,33508,25390,58898,8156,3187,11343,12313,17639,25390,43029,2149,4526
12/09/2014,33534,25405,58939,8159,3190,11349,12332,17657,25405,43062,2149,4528
12/10/2014,33514,25431,58945,8142,3192,11334,12339,17658,25431,43089,2146,4522
12/11/2014,33518,25441,58959,8139,3186,11325,12339,17663,25441,43104,2152,4530
12/12/2014,33452,25463,58915,8083,3161,11244,12350,17690,25463,43153,2145,4518
12/13/2014,33407,25463,58870,8064,3165,11229,12351,17694,25463,43157,2129,4484
12/14/2014,33529,25490,59019,8143,3181,11324,12368,17718,25490,43208,2130,4487
12/15/2014,33590,25442,59032,8207,3185,11392,12345,17696,25442,43138,2137,4502
12/16/2014,33550,25409,58959,8200,3195,11395,12320,17674,25409,43083,2126,4481
12/17/2014,33599,25469,59068,8218,3172,11390,12349,17722,25469,43191,2129,4487
12/18/2014,33603,25447,59050,8212,3181,11393,12353,17733,25447,43180,2124,4477
12/19/2014,33512,25417,58929,8183,3152,11335,12341,17704,25417,43121,2123,4473
12/20/2014,33455,25365,58820,8155,3141,11296,12322,17676,25365,43041,2128,4483
12/21/2014,33561,25383,58944,8209,3157,11366,12333,17695,25383,43078,2136,4500
12/22/2014,33537,25376,58913,8204,3153,11357,12316,17680,25376,43056,2135,4500
12/23/2014,33436,25300,58736,8180,3138,11318,12283,17637,25300,42937,2125,4481
12/24/2014,33260,25239,58499,8090,3108,11198,12245,17590,25239,42829,2122,4472
12/25/2014,33314,25235,58549,8125,3123,11248,12243,17589,25235,42824,2124,4477
12/26/2014,33353,25233,58586,8147,3123,11270,12248,17597,25233,42830,2130,4486
12/27/2014,33311,25193,58504,8139,3117,11256,12229,17574,25193,42767,2127,4481
12/28/2014,33354,25162,58516,8190,3132,11322,12216,17559,25162,42721,2123,4473
12/29/2014,33403,25138,58541,8235,3164,11399,12191,17526,25138,42664,2124,4478
12/30/2014,33262,25048,58310,8184,3134,11318,12146,17472,25048,42520,2123,4472
12/31/2014,32937,25004,57941,7936,3064,11000,12137,17457,25004,42461,2128,4480
01/01/2015,33161,24981,58142,8143,3096,11239,12134,17443,24981,42424,2127,4479
01/02/2015,33162,25018,58180,8136,3100,11236,12148,17469,25018,42487,2116,4457
01/03/2015,33161,25011,58172,8148,3099,11247,12135,17454,25011,42465,2118,4460
01/04/2015,33303,25027,58330,8218,3142,11360,12149,17469,25027,42496,2124,4474
01/05/2015,33354,25015,58369,8237,3168,11405,12135,17459,25015,42474,2132,4490
01/06/2015,33374,24978,58352,8276,3175,11451,12120,17433,24978,42411,2132,4490
01/07/2015,33464,25010,58474,8304,3170,11474,12145,17473,25010,42483,2145,4517
01/08/2015,33517,25034,58551,8288,3185,11473,12173,17511,25034,42545,2153,4533
01/09/2015,33415,25013,58428,8202,3164,11366,12162,17493,25013,42506,2163,4556
01/10/2015,33484,25003,58487,8259,3165,11424,12158,17493,25003,42496,2169,4567
01/11/2015,33569,25014,58583,8312,3177,11489,12166,17510,25014,42524,2170,4570
01/12/2015,33609,25034,58643,8332,3181,11513,12175,17525,25034,42559,2171,4571
01/13/2015,33615,25013,58628,8360,3188,11548,12161,17492,25013,42505,2171,4575
01/14/2015,33636,25004,58640,8360,3188,11548,12167,17506,25004,42510,2174,4582
01/15/2015,33646,25021,58667,8356,3182,11538,12168,17511,25021,42532,2181,4597
01/16/2015,33621,25003,58624,8356,3180,11536,12163,17507,25003,42510,2172,4578
01/17/2015,33538,24982,58520,8332,3149,11481,12151,17491,24982,42473,2166,4566
01/18/2015,33630,25014,58644,8378,3152,11530,12179,17529,25014,42543,2167,4571
01/19/2015,33687,25004,58691,8408,3173,11581,12179,17533,25004,42537,2168,4573
01/20/2015,33716,24998,58714,8458,3171,11629,12163,17507,24998,42505,2171,4580
01/21/2015,33686,24959,58645,8449,3189,11638,12141,17473,24959,42432,2169,4575
01/22/2015,33711,24944,58655,8478,3188,11666,12143,17473,24944,42417,2168,4572
01/23/2015,33611,24934,58545,8425,3158,11583,12141,17466,24934,42400,2165,4562
01/24/2015,33595,24877,58472,8428,3168,11596,12122,17435,24877,42312,2166,4564
01/25/2015,33708,24919,58627,8478,3189,11667,12141,17465,24919,42384,2172,4576
01/26/2015,33712,24890,58602,8525,3190,11715,12120,17442,24890,42332,2162,4555
01/27/2015,33781,24951,58732,8538,3189,11727,12151,17486,24951,42437,2169,4568
01/28/2015,33774,24949,58723,8541,3186,11727,12138,17473,24949,42422,2173,4574
01/29/2015,33699,24915,58614,8518,3195,11713,12118,17437,24915,42352,2162,4549
01/29/2015,33699,24915,58614,8518,3195,11713,12118,17437,24915,42352,2162,4549
01/30/2015,33602,24904,58506,8440,3159,11599,12114,17439,24904,42343,2169,4564
01/31/2015,33569,24844,58413,8459,3154,11613,12084,17406,24844,42250,2163,4550
02/01/2015,33639,24840,58479,8476,3178,11654,12088,17417,24840,42257,2172,4568
02/02/2015,33752,24835,58587,8535,3186,11721,12088,17433,24835,42268,2187,4598
02/05/2015,33630,24720,58350,8526,3177,11703,12034,17364,24720,42084,2171,4563
02/06/2015,33621,24725,58346,8512,3166,11678,12036,17369,24725,42094,2176,4574
02/07/2015,33542,24720,58262,8455,3163,11618,12032,17366,24720,42086,2167,4558
02/08/2015,33690,24739,58429,8562,3174,11736,12045,17384,24739,42123,2173,4570
02/10/2015,33662,24667,58329,8581,3190,11771,12001,17332,24667,41999,2166,4559
02/11/2015,33668,24620,58288,8588,3187,11775,11991,17317,24620,41937,2174,4576
02/12/2015,33679,24588,58267,8618,3191,11809,11972,17305,24588,41893,2169,4565
02/13/2015,33657,24573,58230,8589,3184,11773,11973,17308,24573,41881,2174,4576
02/14/2015,33552,24537,58089,8522,3152,11674,11967,17298,24537,41835,2176,4580
02/15/2015,33662,24548,58210,8603,3168,11771,11970,17301,24548,41849,2181,4590
02/16/2015,33740,24552,58292,8638,3185,11823,11982,17311,24552,41863,2189,4606
02/16/2015,33740,24552,58292,8638,3185,11823,11982,17311,24552,41863,2189,4606
02/17/2015,33770,24574,58344,8648,3199,11847,11992,17325,24574,41899,2184,4598
02/18/2015,33760,24524,58284,8672,3214,11886,11958,17275,24524,41799,2184,4599
02/19/2015,33732,24537,58269,8651,3211,11862,11960,17278,24537,41815,2181,4592
02/20/2015,33692,24519,58211,8657,3194,11851,11959,17256,24519,41775,2178,4585
02/21/2015,33594,24510,58104,8605,3171,11776,11955,17258,24510,41768,2165,4560
02/22/2015,33652,24504,58156,8643,3192,11835,11953,17257,24504,41761,2166,4560
02/23/2015,33656,24486,58142,8678,3197,11875,11929,17216,24486,41702,2168,4565
02/24/2015,33638,24435,58073,8692,3204,11896,11902,17169,24435,41604,2172,4573
02/25/2015,33645,24438,58083,8695,3209,11904,11900,17178,24438,41616,2167,4563
02/26/2015,33561,24414,57975,8641,3209,11850,11897,17174,24414,41588,2153,4537
02/27/2015,33506,24421,57927,8590,3179,11769,11910,17186,24421,41607,2160,4551
02/28/2015,33497,24342,57839,8631,3162,11793,11892,17161,24342,41503,2156,4543
03/01/2015,33591,24370,57961,8665,3187,11852,11911,17184,24370,41554,2164,4555
03/02/2015,33602,24361,57963,8656,3194,11850,11900,17186,24361,41547,2168,4566
03/03/2015,33526,24293,57819,8657,3203,11860,11856,17121,24293,41414,2159,4545
03/04/2015,33579,24330,57909,8682,3200,11882,11882,17148,24330,41478,2160,4549
03/05/2015,33561,24311,57872,8664,3197,11861,11869,17148,24311,41459,2163,4552
03/06/2015,33549,24317,57866,8624,3191,11815,11881,17169,24317,41486,2169,4565
03/07/2015,33558,24353,57911,8612,3179,11791,11903,17195,24353,41548,2172,4572
03/08/2015,33600,24369,57969,8654,3185,11839,11906,17199,24369,41568,2167,4562
03/09/2015,33620,24407,58027,8624,3202,11826,11923,17226,24407,41633,2171,4568
03/10/2015,33510,24273,57783,8661,3207,11868,11856,17116,24273,41389,2150,4526
03/12/2015,33500,24275,57775,8612,3197,11809,11874,17146,24275,41421,2160,4545
03/16/2015,33562,24195,57757,8678,3206,11884,11865,17141,24195,41336,2156,4537
03/17/2015,33544,24174,57718,8666,3210,11876,11853,17123,24174,41297,2158,4545
03/18/2015,33568,24152,57720,8699,3209,11908,11850,17108,24152,41260,2162,4552
03/19/2015,33515,24140,57655,8650,3207,11857,11842,17092,24140,41232,2169,4566
03/20/2015,33508,24116,57624,8634,3207,11841,11835,17089,24116,41205,2174,4578
03/21/2015,33436,24092,57528,8590,3189,11779,11829,17084,24092,41176,2172,4573
03/22/2015,33563,24112,57675,8678,3206,11884,11845,17108,24112,41220,2170,4571
03/23/2015,33551,24071,57622,8687,3221,11908,11814,17067,24071,41138,2173,4576
03/24/2015,33520,24016,57536,8688,3227,11915,11801,17038,24016,41054,2170,4567
03/25/2015,33554,24003,57557,8704,3237,11941,11805,17039,24003,41042,2174,4574
03/26/2015,33437,23968,57405,8672,3179,11851,11782,17017,23968,40985,2172,4569
03/27/2015,33384,23919,57303,8621,3223,11844,11762,16982,23919,40901,2167,4558
03/28/2015,33320,23871,57191,8601,3213,11814,11745,16949,23871,40820,2168,4557
03/29/2015,33427,23903,57330,8661,3229,11890,11764,16969,23903,40872,2174,4568
03/30/2015,33428,23905,57333,8672,3221,11893,11762,16973,23905,40878,2171,4562
03/31/2015,33339,23827,57166,8642,3211,11853,11743,16937,23827,40764,2164,4549
04/01/2015,33265,23824,57089,8600,3169,11769,11749,16932,23824,40756,2172,4564
04/02/2015,33227,23820,57047,8542,3189,11731,11756,16935,23820,40755,2170,4561
04/03/2015,33183,23818,57001,8505,3194,11699,11752,16923,23818,40741,2170,4561
04/04/2015,33236,23798,57034,8567,3188,11755,11749,16909,23798,40707,2174,4572
04/05/2015,33338,23843,57181,8628,3193,11821,11777,16954,23843,40797,2170,4563
04/06/2015,33331,23816,57147,8642,3195,11837,11766,16947,23816,40763,2163,4547
04/07/2015,33302,23723,57025,8675,3202,11877,11724,16879,23723,40602,2163,4546
04/08/2015,33378,23747,57125,8709,3217,11926,11738,16896,23747,40643,2167,4556
04/09/2015,33389,23812,57201,8699,3210,11909,11776,16944,23812,40756,2158,4536
04/10/2015,33267,23747,57014,8643,3190,11833,11765,16914,23747,40661,2150,4520
04/11/2015,33221,23733,56954,8618,3195,11813,11758,16908,23733,40641,2141,4500
04/12/2015,33348,23800,57148,8678,3217,11895,11787,16953,23800,40753,2141,4500
04/13/2015,33349,23776,57125,8708,3229,11937,11766,16922,23776,40698,2137,4490
04/14/2015,33410,23824,57234,8698,3235,11933,11789,16960,23824,40784,2149,4517
04/15/2015,33412,23799,57211,8686,3237,11923,11781,16959,23799,40758,2155,4530
04/16/2015,33321,23777,57098,8661,3239,11900,11767,16929,23777,40706,2139,4492
04/17/2015,33200,23711,56911,8584,3220,11804,11745,16892,23711,40603,2146,4504
04/18/2015,33072,23655,56727,8537,3191,11728,11728,16861,23655,40516,2137,4483
04/19/2015,33225,23686,56911,8658,3203,11861,11745,16877,23686,40563,2139,4487
04/21/2015,33291,23681,56972,8681,3224,11905,11737,16883,23681,40564,2146,4503
04/22/2015,33283,23597,56880,8697,3239,11936,11716,16843,23597,40440,2146,4504
04/23/2015,33300,23621,56921,8679,3249,11928,11736,16864,23621,40485,2147,4508
04/24/2015,33222,23602,56824,8628,3222,11850,11728,16867,23602,40469,2146,4505
04/25/2015,33183,23613,56796,8581,3230,11811,11732,16875,23613,40488,2142,4497
04/26/2015,33257,23650,56907,8635,3235,11870,11749,16900,23650,40550,2137,4487
04/27/2015,33259,23617,56876,8645,3262,11907,11730,16876,23617,40493,2131,4476
04/28/2015,33239,23608,56847,8627,3257,11884,11729,16873,23608,40481,2134,4482
04/29/2015,33240,23614,56854,8643,3261,11904,11735,16873,23614,40487,2125,4463
04/30/2015,33201,23609,56810,8621,3234,11855,11733,16877,23609,40486,2127,4469
05/01/2015,32959,23596,56555,8429,3200,11629,11737,16863,23596,40459,2126,4467
05/02/2015,32866,23561,56427,8371,3197,11568,11712,16825,23561,40386,2128,4473
05/03/2015,33075,23595,56670,8546,3215,11761,11729,16843,23595,40438,2126,4471
05/04/2015,33095,23545,56640,8561,3221,11782,11702,16815,23545,40360,2139,4498
05/05/2015,33080,23522,56602,8567,3207,11774,11689,16800,23522,40322,2142,4506
05/06/2015,33190,23565,56755,8612,3231,11843,11705,16825,23565,40390,2151,4522
05/07/2015,33175,23593,56768,8579,3225,11804,11735,16869,23593,40462,2141,4502
05/08/2015,33106,23595,56701,8520,3201,11721,11743,16877,23595,40472,2145,4508
05/09/2015,33093,23538,56631,8540,3206,11746,11715,16837,23538,40375,2145,4510
05/10/2015,33124,23546,56670,8555,3209,11764,11714,16844,23546,40390,2148,4516
05/11/2015,33191,23532,56723,8606,3230,11836,11704,16833,23532,40365,2152,4522
05/12/2015,33114,23469,56583,8587,3242,11829,11680,16777,23469,40246,2147,4508
05/13/2015,33215,23499,56714,8638,3243,11881,11714,16824,23499,40323,2149,4510
05/14/2015,33210,23524,56734,8622,3238,11860,11731,16849,23524,40373,2143,4501
05/18/2015,33261,23468,56729,8643,3256,11899,11725,16849,23468,40317,2148,4513
05/19/2015,33188,23467,56655,8601,3249,11850,11713,16833,23467,40300,2145,4505
05/20/2015,33310,23499,56809,8658,3251,11909,11739,16872,23499,40371,2157,4529
05/21/2015,33323,23517,56840,8672,3254,11926,11755,16884,23517,40401,2149,4513
05/22/2015,33190,23461,56651,8584,3226,11810,11731,16842,23461,40303,2160,4538
05/23/2015,33198,23482,56680,8590,3218,11808,11743,16858,23482,40340,2157,4532
05/25/2015,33189,23433,56622,8630,3205,11835,11727,16826,23433,40259,2155,4528
05/26/2015,33203,23408,56611,8647,3228,11875,11712,16808,23408,40216,2152,4520
05/27/2015,33202,23337,56539,8681,3239,11920,11683,16763,23337,40100,2151,4519
05/28/2015,33196,23331,56527,8681,3250,11931,11689,16766,23331,40097,2141,4499
05/29/2015,33122,23365,56487,8598,3237,11835,11711,16783,23365,40148,2144,4504
05/30/2015,33038,23314,56352,8538,3222,11760,11697,16767,23314,40081,2149,4511
05/31/2015,33123,23317,56440,8618,3227,11845,11698,16761,23317,40078,2152,4517
06/01/2015,33213,23349,56562,8671,3252,11923,11703,16778,23349,40127,2149,4512
06/02/2015,33169,23279,56448,8681,3246,11927,11673,16735,23279,40014,2147,4507
06/03/2015,33202,23304,56506,8680,3250,11930,11694,16760,23304,40064,2149,4512
06/04/2015,33171,23325,56496,8625,3251,11876,11715,16779,23325,40104,2149,4516
06/05/2015,33124,23286,56410,8627,3241,11868,11702,16749,23286,40035,2144,4507
06/06/2015,33065,23290,56355,8566,3245,11811,11706,16748,23290,40038,2145,4506
06/07/2015,33094,23284,56378,8610,3255,11865,11710,16743,23284,40027,2136,4486
06/08/2015,33137,23298,56435,8648,3264,11912,11707,16739,23298,40037,2134,4486
06/09/2015,33096,23266,56362,8612,3274,11886,11693,16726,23266,39992,2133,4484
